"","Title","Location","Plaque.text.Description","Agriculture","Archaeology","Artsculture","Blackheritage","Buildingsstructures","Communities","Disasters","Education","Environment","Exploration","FirstNations","Franco","Furtrade","Industry","Organizations","People","Politics","Religion","Scientific","Sports","Transportation","Warconflict","Womenhist","Region","County.District","Municipality","Latitude","Longitude"
"1","""Canada First"" Movement, The","At the entrance to the National Club, 303 Bay Street, Toronto","Origination in Ottawa, in 1868, with informal meetings of a few youthful patriots, ""Canada First"" was the name and slogan of a movement to promote nationalist sentiment. Its founding members were Charles Mair, Henry Morgan, William Foster,
G.T. Denison and R.G. Haliburton. Two years later the movement created the North-West Emigration Aid Society to encourage British immigration. In 1874 the group, now centred in Toronto, established the ""Nation"", a weekly journal, entered politics as the Canadian National Association, and founded the National Club as its rallying-place. By then ""Canada First"" had the support of such influential figures as Edward Blake and Goldwin Smith. Though the movement's political influence soon waned, its expression of a popular Canadian ideal had enduring significance.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"Greater Toronto Area","City of Toronto (District)","City of Toronto",43.6493473,-79.3802768
"2","""Cariboo"" Cameron 1820-
1888","On the grounds of Cameron's former home, called Fairfield, on County Road 2 and County Road 27, west of Summerstown. After Cameron's death, the building housed the Legionaries of Christ. It is now privately owned.","Born in this township, John Angus ""Cariboo"" Cameron married Margaret Sophia Groves in 1860. Accompanied by his wife and daughter, he went to British Columbia in 1862 to prospect in the Cariboo gold fields. That year at Williams Creek he struck a rich gold deposit. While there his wife died of typhoid fever and, in order to fulfil her dying wish to be buried at home, he transported her body in an alcohol-filled coffin some 8,600 miles by sea via the Isthmus of Panama to Cornwall. She is buried in the nearby Salem Church cemetery. Cameron built this house, ""Fairfield"", in 1865, and in 1886 returned to the B.C. gold fields. He is buried near Barkerville, B.C.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Eastern Ontario","United Counties of Stormont, Dundas and Glengarry","Township of South Glengarry",45.05601541,-74.56770762
"3","""Colored Corps"" 1812-
1815, The","On Queenston Heights, near the Brock monument, Queenston","When the War of 1812 began, people of African descent in the Niagara peninsula feared an American invasion. They were anxious to preserve their freedom and prove their loyalty to Britain. Many joined the militia; others offered to raise their own militia company. Authorities responded by forming a ""Coloured Corps"" of about thirty men commanded by white officers. Based in the Niagara region throughout the war, it fought at Queenston Heights in October 1812 and at the siege of Fort George in May 1813. The corps was disbanded soon after the peace, but had nonetheless set a precedent. Black units were a feature of the Canadian military until the First World War.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Niagara Falls and Region","Regional Municipality of Niagara","Town of Niagara-on-the- Lake",43.160132,-79.053059
"4","""Cyclone"" Taylor 1885-
1979","In Memorial Park, Yonge Street, Tara","An outstanding hockey player, Frederick W. Taylor was born in Tara and began his amateur career with the Listowel juniors about 1901. His exceptional skating ability and irrepressible energy drew widespread attention to ""whirlwind"" (later ""cyclone"") Taylor and in 1905, in Michigan, he entered the International League, hockey's professional organization. Having joined the Canadian Civil Service in 1907, he continued to play with Ottawa and Renfrew teams, and soon confirmed his reputation as a brilliant all-round player. He concluded his celebrated hockey career with the Vancouver Millionaires, 1912-20, of the Pacific Coast Hockey Association. In 1946, he received the Order of the British Empire for his service to the immigration department. ""Cyclone"" Taylor was elected to the Hockey Hall of Fame in 1947.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"Southwestern Ontario","County of Bruce","Municipality of Arran- Elderslie",44.47898455,-81.14580017
"5","""Howie"" Morenz 1902-
1937","In Howie Morenz Memorial Gardens, Blanchard and Huron streets, Mitchell","An outstanding hockey player, Howard William Morenz was born in Mitchell. He began his career with the Mitchell Juveniles, 1917-18, and after his family moved to Stratford, he played with several teams there. His skilful play, characterized by exceptionally fast skating and intense concentration, brought  the ""Stratford Streak"" offers from several professional teams, and in 1923 he joined the Montreal Canadiens of the National Hockey League. His success was immediate and he remained in the League for 14 years, 12 with Montreal. So great were his popularity and appeal that he made a major contribution to the League's success during its early years. He died following a severe injury suffered in play. In 1950, Morenz was voted the outstanding hockey player of the half century by Canadian Press.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"Southwestern Ontario","County of Perth","Township of West Perth",43.46870001,-81.19982804
"6","""King"" Capron 1796-1872","In front of his former home, 8 Homestead Road, Paris","This house was built in 1831 by Hiram Capron, a native of Vermont who, in 1822, had emigrated to Norfolk County where he helped to establish one of Upper Canada's earliest iron foundries. He settled here at the Forks of the Grand in 1829, divided part of his land into town lots, and in 1830 constructed a grist-mill. The following year, he renamed the community ""Paris."" In 1842, with other partners, he purchased the nearby gypsum deposits which he built into the village's primary industry. His leadership in founding and developing the town earned him the nickname ""King.""",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Southwestern Ontario","County of Brant (District)","County of Brant",43.20082368,-80.38355056
"7","""Ned"" Hanlan 1855-1908","Near the ferry dock, Hanlans Point, Toronto Islands, Toronto","A native of Toronto, Hanlan took up rowing as a child after his family moved to a house on Gibraltar Point. After winning several amateur rowing events, Hanlan turned professional in 1876. For four years he held the world single sculls
championship.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"Greater Toronto Area","City of Toronto (District)","City of Toronto",43.627682,-79.389506
"8","""Old"" City Hall 1899-1965","In front of the east wing of the building, 60 Queen Street West, Toronto","Designed by E.J. Lennox in the Romanesque Revival style, an architectural style unique to North America, Toronto's third city hall was constructed of sandstone from the Credit River valley, grey stone from the Orangeville area, and brown stone from New Brunswick. The rugged, towering façade has often been
described as cliff-like.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Greater Toronto Area","City of Toronto (District)","City of Toronto",43.65227935,-79.38114703
"9","""Pirate"" Johnston 1782-
1870","In the waterfront park, Water Street, just east of Main Street, Gananoque","At nearby Wellesley Island on the night of May 29-30, 1838, a band of Upper Canadian rebels and their American supporters burned the Canadian steamer ""Sir Robert Peel."" The attackers, about thirteen in number, were led by William ""Bill"" Johnston, a former Canadian who had fled to the U.S. during the War of 1812. He became a trader and smuggler and, in 1838, was appointed Commodore of the ""Patriot"" army. He participated in several attacks upon Canada during the Rebellion and subsequently settled in Clayton, New York, where he became keeper of a lighthouse.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Eastern Ontario","United Counties of Leeds and Grenville","Town of Gananoque",44.32501056,-76.16036798
"10","""Schooner Town""","In Schoonertown Parkette near the site of the former base, River Road West and Oxbow Park Road, Wasaga Beach Provincial Park","The Nottawasaga River formed part of a transportation link between Lake Ontario and the upper Great Lakes, which became a vitally important supply route to British western posts during the War of 1812. The base of operations for the Royal Navy's vessels on Lake Huron was located here at the foot of navigation on the river from 1815 to 1817. Buildings to house the base were erected in October 1815 by the ship's company of H.M. Schooner ""Confiance."" Within two years, orders were issued transferring the naval establishment to Penetanguishene, where superior anchorage was available, and, in late 1817, the naval base at ""Schooner Town"" was abandoned. In 1976, management of the site became the responsibility of Wasaga Beach Provincial Park.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Central Ontario","County of Simcoe","Wasaga Beach Provincial Park",44.49029,-80.0475
